Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"19/10/20, 16:16",Some Instructor,-,Course: PLIN1234: Introduction to Language ,Logs,Log report viewed,The user with id '26152' viewed the log report for the course with id '7101'.,web,144.82.8.58
"19/10/20, 16:16",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 16:07",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 15:04",Second Student,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '762573' viewed the 'resource' activity with course module id '117363'.,web,144.82.9.169
"19/10/20, 15:04",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 15:01",Second Student,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '762573' viewed the 'resource' activity with course module id '117356'.,web,144.82.9.169
"19/10/20, 15:01",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 15:01",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 15:01",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the course with id '7101'.,web,144.82.8.58
"19/10/20, 15:00",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762592' launched the session with id '0eadedc1f1484ae1b341e9b518b9af5f' for the Collab with course module id '2421707'.,web,128.86.177.101
"19/10/20, 15:00",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421707'.,web,128.86.177.101
"19/10/20, 15:00",Third Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762592' viewed the section number '5' of the course with id '7101'.,web,128.86.177.101
"19/10/20, 14:57",Second Student,-,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '0eadedc1f1484ae1b341e9b518b9af5f' for the Collab with course module id '2421707'.,web,144.82.9.169
"19/10/20, 14:56",Second Student,Second Student,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,System,Course activity completion updated,The user with id '762573' updated the completion state for the course module with id '2421707' for the user with id '762573'.,web,144.82.9.169
"19/10/20, 14:56",Second Student,Second Student,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,System,Course activity completion updated,The user with id '762573' updated the completion state for the course module with id '2421707' for the user with id '762573'.,web,144.82.9.169
"19/10/20, 14:56",Second Student,-,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762573' viewed the 'collaborate' activity with course module id '2421707'.,web,144.82.9.169
"19/10/20, 14:56",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 13:04",Fourth Student,Fourth Student,File: Tutorial Exercises for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '117356' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 13:03",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:46",Second Student,-,File: How to identify phonemes and allophones: Step by step,File,Course module viewed,The user with id '762573' viewed the 'resource' activity with course module id '117364'.,web,144.82.9.169
"19/10/20, 12:45",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 12:29",Fourth Student,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '762427' viewed the 'resource' activity with course module id '117363'.,web,123.120.224.6
"19/10/20, 12:29",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:19",Fourth Student,-,File: How to identify phonemes and allophones: Step by step,File,Course module viewed,The user with id '762427' viewed the 'resource' activity with course module id '117364'.,web,123.120.224.6
"19/10/20, 12:19",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:17",Fourth Student,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '762427' viewed the 'resource' activity with course module id '117363'.,web,123.120.224.6
"19/10/20, 12:16",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:16",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:16",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:13",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Discussion viewed,The user with id '26152' has viewed the discussion with id '46482' in the forum with the course module id '832587'.,web,144.82.8.58
"19/10/20, 12:12",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Discussion viewed,The user with id '26152' has viewed the discussion with id '46764' in the forum with the course module id '832587'.,web,144.82.8.58
"19/10/20, 12:11",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Discussion viewed,The user with id '26152' has viewed the discussion with id '46619' in the forum with the course module id '832587'.,web,144.82.8.58
"19/10/20, 12:11",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Discussion viewed,The user with id '26152' has viewed the discussion with id '42530' in the forum with the course module id '832587'.,web,144.82.8.58
"19/10/20, 12:11",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Course module viewed,The user with id '26152' viewed the 'hsuforum' activity with course module id '832587'.,web,144.82.8.58
"19/10/20, 12:06",Fourth Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762427' launched the session with id '177b7b3494e349368f3b60f74d6f6cb3' for the Collab with course module id '2421703'.,web,123.120.224.6
"19/10/20, 12:06",Fourth Student,Fourth Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '2421703' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 12:06",Fourth Student,Fourth Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '2421703' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 12:06",Fourth Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421703'.,web,123.120.224.6
"19/10/20, 12:06",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 12:06",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the course with id '7101'.,web,123.120.224.6
"19/10/20, 11:47",First Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762428' launched the session with id '177b7b3494e349368f3b60f74d6f6cb3' for the Collab with course module id '2421703'.,web,109.166.130.183
"19/10/20, 11:47",First Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762428' viewed the 'collaborate' activity with course module id '2421703'.,web,109.166.130.183
"19/10/20, 11:44",First Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762428' viewed the 'collaborate' activity with course module id '2421703'.,web,109.166.130.183
"19/10/20, 11:44",First Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762428' viewed the section number '5' of the course with id '7101'.,web,109.166.130.183
"19/10/20, 11:44",First Student,First Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762428' updated the completion state for the course module with id '2421703' for the user with id '762428'.,web,109.166.130.183
"19/10/20, 11:44",First Student,First Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762428' updated the completion state for the course module with id '2421703' for the user with id '762428'.,web,109.166.130.183
"19/10/20, 11:44",First Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762428' viewed the 'collaborate' activity with course module id '2421703'.,web,109.166.130.183
"19/10/20, 11:44",First Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762428' viewed the section number '5' of the course with id '7101'.,web,109.166.130.183
"19/10/20, 11:44",First Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762428' viewed the course with id '7101'.,web,109.166.130.183
"19/10/20, 11:42",First Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762428' viewed the section number '5' of the course with id '7101'.,web,82.78.135.40
"19/10/20, 11:42",First Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762428' viewed the course with id '7101'.,web,82.78.135.40
"19/10/20, 11:19",Third Student,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117363'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Phonology practice: Japanese [t] [ts],File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117361'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Phonology practice: English phonotactics,File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117360'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Phonology practice: English [ai],File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117359'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421707' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421707' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421707'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 3 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421706' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 3 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421706' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 3 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421706'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 2 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421705' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 2 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421705' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 2 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421705'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421703' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421703' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421703'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117356'.,web,128.86.177.101
"19/10/20, 11:07",Some Instructor,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '117363'.,web,144.82.8.58
"19/10/20, 11:07",Fourth Student,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '762427' viewed the 'resource' activity with course module id '117356'.,web,123.120.224.6
"19/10/20, 11:06",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 11:04",Third Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762592' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,128.86.177.101
"19/10/20, 11:04",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '26152' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:04",Third Student,Third Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421700' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:04",Third Student,Third Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421700' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:04",Third Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421700'.,web,128.86.177.101
"19/10/20, 11:03",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '26152' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:02",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:02",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 11:02",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.7
"19/10/20, 11:02",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.7
"19/10/20, 11:02",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '4' of the course with id '7101'.,web,144.82.8.7
"19/10/20, 11:01",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:01",Some Instructor,Some Instructor,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '26152' updated the completion state for the course module with id '2421700' for the user with id '26152'.,web,144.82.8.58
"19/10/20, 11:01",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.58
"19/10/20, 10:55",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.9.169
"19/10/20, 10:53",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.9.4
"19/10/20, 10:52",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762573' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.9.4
"19/10/20, 10:52",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.4
"19/10/20, 10:52",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the course with id '7101'.,web,144.82.9.4
"19/10/20, 10:51",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762573' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.9.169
"19/10/20, 10:50",Second Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762573' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.9.169
"19/10/20, 10:50",Second Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762573' viewed the section number '5' of the course with id '7101'.,web,144.82.9.169
"19/10/20, 10:46",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762427' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:46",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:45",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the section number '5' of the course with id '7101'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '762427' viewed the course with id '7101'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,Fourth Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '2421700' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,Fourth Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762427' updated the completion state for the course module with id '2421700' for the user with id '762427'.,web,123.120.224.6
"19/10/20, 10:38",Fourth Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762427' viewed the 'collaborate' activity with course module id '2421700'.,web,123.120.224.6
"19/10/20, 10:34",Some Instructor,-,File: Tutorial Solutions for Week 3,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '826323'.,web,144.82.8.58
"19/10/20, 10:34",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:33",Some Instructor,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '117363'.,web,144.82.8.58
"19/10/20, 10:29",Some Instructor,-,Forum (Advanced): Discussion Forum,Forum (Advanced),Course module viewed,The user with id '26152' viewed the 'hsuforum' activity with course module id '832587'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '117356'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:26",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '15' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Blackboard Collaborate Ultra: Test session,Blackboard Collaborate Ultra,Collab session launched,The user with id '26152' launched the session with id 'b2b19c1f8bee4850a08ea01270231711' for the Collab with course module id '2340243'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Blackboard Collaborate Ultra: Test session,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2340243'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '15' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 10:25",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the course with id '7101'.,web,144.82.8.58
